=== Secondhand bonds on extinction-plague-vector.hybrid3.json (seed 7) ===
★ mara-okonkwo --spites--> the-failed-trial-deck  (via the-sleeper-vael, rival of; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.70)
★ mara-okonkwo --spites--> the-cold-glyph  (via the-sleeper-vael, rival of; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.70)
★ mara-okonkwo --spites--> the-keystone-relic  (via the-sleeper-vael, rival of; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.70)
★ mara-okonkwo --spites--> the-sealwrights-recipe  (via the-sleeper-vael, rival of; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.70)
★ mara-okonkwo --burdened_by--> the-keystone-relic  (via warden-rekha-okonkwo, descendant of; warden-rekha-okonkwo died for it ; transmission 1.00)
★ mara-okonkwo --must_finish--> the-sealwrights-recipe  (via the-sleeper-vael, mentored by; the-sleeper-vael sealed it ; transmission 0.59)
★ mara-okonkwo --lives_up_to--> the-failed-trial-deck  (via the-sleeper-vael, mentored by; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.85)
★ mara-okonkwo --lives_up_to--> the-cold-glyph  (via the-sleeper-vael, mentored by; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.85)
★ mara-okonkwo --lives_up_to--> the-keystone-relic  (via the-sleeper-vael, mentored by; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.85)
★ mara-okonkwo --lives_up_to--> the-sealwrights-recipe  (via the-sleeper-vael, mentored by; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.85)
★ ilse-vantar --lives_up_to--> the-host-vault-key  (via sealwright-corin-vantar, mentored by; sealwright-corin-vantar forged it ; transmission 0.85)
★ ilse-vantar --must_finish--> the-cold-glyph  (via sealwright-corin-vantar, mentored by; sealwright-corin-vantar died for it ; transmission 0.85)
★ ilse-vantar --heir_to--> the-host-vault-key  (via sealwright-corin-vantar, kin of; sealwright-corin-vantar forged it ; transmission 1.00)
★ ilse-vantar --burdened_by--> the-cold-glyph  (via sealwright-corin-vantar, kin of; sealwright-corin-vantar died for it ; transmission 1.00)
★ the-archivist-soren --obligated_over--> the-failed-trial-deck  (via the-sleeper-vael, ally of; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.50)
★ the-archivist-soren --obligated_over--> the-cold-glyph  (via the-sleeper-vael, ally of; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.50)
★ the-archivist-soren --obligated_over--> the-keystone-relic  (via the-sleeper-vael, ally of; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.50)
★ the-archivist-soren --obligated_over--> the-sealwrights-recipe  (via the-sleeper-vael, ally of; the-sleeper-vael forged it — their people (the-cradlekeepers); transmission 0.50)
★ the-archivist-soren --lives_up_to--> the-host-vault-key  (via sealwright-corin-vantar, mentored by; sealwright-corin-vantar forged it ; transmission 0.85)
★ the-archivist-soren --must_finish--> the-cold-glyph  (via sealwright-corin-vantar, mentored by; sealwright-corin-vantar died for it ; transmission 0.85)
★ halden-ree --spites--> the-marrow-assay  (via the-quarantined-tsenn, grudge against; the-quarantined-tsenn forged it — their people (the-stillborn-host); transmission 0.75)
★ halden-ree --spites--> the-host-vault-key  (via the-quarantined-tsenn, grudge against; the-quarantined-tsenn forged it — their people (the-stillborn-host); transmission 0.75)
★ halden-ree --burdened_by--> the-keystone-relic  (via warden-rekha-okonkwo, successor of; warden-rekha-okonkwo died for it ; transmission 0.80)
★ halden-ree --must_finish--> the-keystone-relic  (via warden-rekha-okonkwo, reveres; warden-rekha-okonkwo died for it ; transmission 0.80)
★ halden-ree --bound_by--> the-keystone-relic  (via warden-rekha-okonkwo, served; warden-rekha-okonkwo died for it ; transmission 0.60)

formed 25 secondhand bond(s). Each required a real C→P→artifact chain (unforced).
